parcel,address,current_property_class,current_property_use,current_year_built,current_total_living_area,current_stories,current_assessed_value,lot_depth,lot_width,lot_size,max_n_units,lot_size_max_n_units,zoning_max_n_units,zoning,use,lot_minimum_per_du_sq_ft,lot_width_ft,front_yard_setback_ft,side_yard_setback_ft,rear_yard_setback_ft,reversed_corner_setback_ft,height_ft,lot_cvg_pct,usable_open_space_per_du_ft,distance_to_capitol_miles,latitude,longitude
71027403030,4209 Owl Creek Dr,Residential,4 unit Apartment,2004,7920,2,1075000,0.0,0.0,19822.0,13.214666666666666,13.214666666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.383286096457393,43.037039117276144,-89.29124372180394
81026355190,1827 Waterfall Way,Residential,Single family,2020,1482,1,447000,0.0,0.0,19833.0,9.9165,9.9165,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,6.323278522326307,43.12320928276809,-89.2782329592393
70836308176,50 Park Heights Ct,Residential,4 unit Apartment,1984,4226,2,550000,0.0,0.0,19860.0,13.24,13.24,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.25916312009792,43.03732803505663,-89.49704049681476
81026355174,1819 Waterfall Way,Residential,Single family,2021,1511,2,387800,0.0,0.0,19867.0,9.9335,9.9335,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,6.289617752708866,43.1229422290015,-89.27879041956264
81022205018,4804 Eastpark Blvd,Agricultural,Agricultural,0,0,0,200,0.0,0.0,19930.0,56.94285714285714,56.94285714285714,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,6.6412864470042186,43.14755515766613,-89.29844610443742
70922113182,90 N Orchard St,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,19950.0,57.0,57.0,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2689362585724393,43.068961902572724,-89.40817334276451
71027403022,4217 Owl Creek Dr Unit CDM,Residential,Condominium,0,0,0,0,0.0,0.0,19994.0,13.329333333333333,13.329333333333333,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.395034119289828,43.03669617487234,-89.29123793724295
71002418632,6213 Driscoll Dr,Residential,Vacant,0,0,0,0,0.0,0.0,20016.0,10.008,10.008,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,5.910157695910581,43.09844754049469,-89.27207420369415
80926406087,3737 E Karstens Dr,Commercial,8 unit Apartment,0,0,0,869000,0.0,0.0,20024.0,13.349333333333334,13.349333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.197864701739388,43.13556308097282,-89.38680031726335
60801220116,10 N Wickham Ct,Residential,6 unit Apartment,1987,7112,2,825000,0.0,0.0,20037.6,13.3584,13.3584,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.548352516815425,43.03048056664092,-89.49882214360758
70821304014,9502 Brader Way,Commercial,Pud vacant,0,0,0,0,0.0,0.0,20052.0,26.736,26.736,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,8.55193076566282,43.06181135796222,-89.55248050505845
60801410022,3149 Manchester Rd,Residential,6 unit Apartment,1996,8296,2,1175000,0.0,0.0,20061.0,13.374,13.374,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,6.7242535102688255,43.01606575470176,-89.49042961200406
81034207200,1 Woodridge Ct,Residential,4 unit Apartment,1993,5288,2,685000,0.0,0.0,20094.0,13.396,13.396,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.1324702708227985,43.114121278185124,-89.2982579791312
70935302532,937 W Badger Rd,Residential,Single family,1930,1092,2,249300,0.0,0.0,20124.7,13.416466666666668,13.416466666666668,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,2.6207350416475905,43.0382725616741,-89.39876052686034
71015404024,2293 S Thompson Dr,Residential,4 unit Apartment,1993,5380,2,690000,0.0,0.0,20154.0,13.436,13.436,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.7642271216432635,43.0668932929274,-89.29080796232266
71003216150,18 Sinykin Cir,Residential,4 unit Apartment,1986,4352,2,595000,0.0,0.0,20160.43,13.440286666666667,13.440286666666667,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.654456171545623,43.105018090467624,-89.30211946921719
81034312059,715 N Thompson Dr Unit CDM,Residential,Condominium,0,0,0,0,0.0,0.0,20211.0,13.474,13.474,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,4.857758587453228,43.108009291563015,-89.29970674156188
70922205111,2102 University Ave,Commercial,28 unit Apartment,0,0,0,2966000,0.0,0.0,20232.5,57.80714285714286,57.80714285714286,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.9005881870297148,43.07324236715746,-89.42188121514225
70829403016,10239 Watts Rd,Residential,Other,0,0,0,58100,0.0,0.0,20234.0,10.117,10.117,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,9.261083288447308,43.052033095218576,-89.56476525302439
71015404058,2281 S Thompson Dr,Residential,4 unit Apartment,1993,5380,2,690000,0.0,0.0,20251.0,13.500666666666667,13.500666666666667,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.811648809874572,43.066853432370856,-89.28987074375995
60811105093,7033 East Pass,Residential,Vacant,0,0,0,0,0.0,0.0,20253.0,13.502,13.502,200,SR-V2,Multi-family (>24 units),1500,60.0,25,10,30,12,52,60,,7.428620779329338,43.01225588492067,-89.50387425946246
70935302392,1019 W Fiedler Ln,Commercial,13 unit Apartment,0,0,0,1100000,0.0,0.0,20255.4,13.5036,13.5036,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,2.7271211733136993,43.036937067424205,-89.40001419770105
70935207089,1108 Catalpa Cir,Residential,4 unit Apartment,1961,4928,2,545000,0.0,0.0,20277.0,13.518,13.518,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,2.418365158663483,43.042001493131735,-89.40136859609575
71027403014,4225 Owl Creek Dr,Residential,4 unit Apartment,2005,7920,2,1075000,0.0,0.0,20279.0,13.519333333333334,13.519333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,5.407379522813828,43.036351802507,-89.29122147685088
70935115034,117 Sunny Meade Ln,Commercial,8 unit Apartment,0,0,0,830000,0.0,0.0,20294.0,13.529333333333334,13.529333333333334,200,TR-V2,Multi-family (>12 units),1500,60.0,20,10,25,12,40,70,,2.280264918890148,43.04172460284959,-89.3856803068853
81033306160,905 Mayfair Ave,Commercial,8 unit Apartment,0,0,0,750000,0.0,0.0,20350.0,13.566666666666666,13.566666666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,3.8966911344248616,43.110879737784416,-89.32514478440214
70934302111,2925 Todd Dr,Commercial,8 unit Apartment,0,0,0,779000,0.0,0.0,20398.0,13.598666666666666,13.598666666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,3.523045757218385,43.03211693538661,-89.42265997762566
71010309063,4509 Leo Dr,Commercial,8 unit Apartment,0,0,0,1012500,0.0,0.0,20405.0,13.603333333333332,13.603333333333332,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.032724313352229,43.080374971997216,-89.3050152637697
60905201012,4710 Thurston Ln,Commercial,8 unit Apartment,0,0,0,688000,0.0,0.0,20422.0,13.614666666666666,13.614666666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.795538560987276,43.03156534109482,-89.45860943330987
60802415170,2891 Cimarron Trl,Residential,Condominium,0,0,0,0,0.0,0.0,20423.0,13.615333333333334,13.615333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,7.326188784417864,43.02103238496421,-89.50922801030222
81030208088,3401 Kipling Dr,Commercial,8 unit Apartment,0,0,0,763000,0.0,0.0,20439.67,13.626446666666666,13.626446666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.154595886333108,43.131330898729075,-89.35626437545326
60801208120,18 S Wickham Ct,Residential,4 unit Apartment,1982,4012,2,515000,0.0,0.0,20473.2,13.6488,13.6488,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.585392220178723,43.028971333223424,-89.49854622676563
70821304022,9514 Brader Way,Agricultural,Agricultural,0,0,0,200,0.0,0.0,20555.0,27.406666666666663,27.406666666666663,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,8.577603696527412,43.061803595229144,-89.55298962226426
70835103056,10 Schoenemann Ct,Residential,Single family,2000,1960,1,447200,0.0,0.0,20566.0,13.710666666666668,13.710666666666668,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,6.498661301220225,43.042832976370505,-89.50519685155075
60903207179,41 Sunfish Ct,Residential,4 unit Apartment,1980,4352,2,540000,0.0,0.0,20596.0,13.730666666666666,13.730666666666666,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,3.6105681537135985,43.027826806202185,-89.41591989515825
70932205200,20 Heritage Cir,Commercial,8 unit Apartment,0,0,0,1152000,0.0,0.0,20727.38,13.818253333333336,13.818253333333336,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.246603531528242,43.040246387904986,-89.4538547325113
81031305015,1725 Roth St,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,20737.0,59.24857142857143,59.24857142857143,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,2.7379115471076094,43.1111182117167,-89.362707230116
81033403057,718 Brandie Rd,Commercial,R-4 vacant,0,0,0,68500,0.0,0.0,20756.0,13.837333333333332,13.837333333333332,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.501662069424739,43.107901792085286,-89.30770161380951
81030208070,3413 Kipling Dr,Commercial,8 unit Apartment,0,0,0,780000,0.0,0.0,20790.0,13.86,13.86,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,4.181476728815402,43.13174783626703,-89.35627398150376
60802413140,2938 Cimarron Trl,Commercial,8 unit Apartment,0,0,0,1199000,0.0,0.0,20798.0,13.865333333333334,13.865333333333334,100,SR-V1,Single-family attached (>8 units),1500,,25,6,30,12,40,90,100.0,7.439284409494446,43.02033884642532,-89.5112632451268
71002314161,402 Hercules Trl,Residential,Vacant,0,0,0,67300,0.0,0.0,20813.0,10.4065,10.4065,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,5.381156318183049,43.09433794730154,-89.28138621711862
81026206278,2616 Waterfall Way,Residential,Vacant,0,0,0,73300,0.0,0.0,20817.0,10.4085,10.4085,100,TR-P,Single-family attached,2000,20.0,15,6,20,8,40,90,,6.745655108228791,43.1333434365304,-89.27757308363746
